"Data","NrParagonu","Produkt"
NA,"PA 246/S01/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 250/S01/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 250/S01/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 253/S01/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 253/S01/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 255/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 255/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 255/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 255/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 256/S01/01/2019","1_M石CZYZNA :  DRES"
NA,"PA 256/S01/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 258/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 258/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 261/S01/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 261/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 261/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 261/S01/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT MID"
NA,"PA 264/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 264/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 264/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 264/S01/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 267/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 267/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 267/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 267/S01/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 273/S01/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 273/S01/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 273/S01/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 276/S01/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 276/S01/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 276/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 276/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 276/S01/01/2019","1_M石CZYZNA :  LONG SLEEVE"
NA,"PA 276/S01/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 276/S01/01/2019","5_AKCESORIA :  AKCESORIA PIARSKIE"
NA,"PA 276/S01/01/2019","5_AKCESORIA :  AKCESORIA PIARSKIE"
NA,"PA 277/S01/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 277/S01/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 280/S01/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 280/S01/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 280/S01/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 280/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 280/S01/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 281/S01/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 281/S01/01/2019","2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 285/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 285/S01/01/2019","2_KOBIETA :  KURTKA"
NA,"PA 285/S01/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 285/S01/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 285/S01/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 285/S01/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 135/S02/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 135/S02/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 137/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 137/S02/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 139/S02/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 139/S02/01/2019","2_KOBIETA :  BUTY_ZIMA"
NA,"PA 140/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 140/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 141/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 141/S02/01/2019","4_DZIEWCZYNA :  TIGHT"
NA,"PA 141/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 143/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 143/S02/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 143/S02/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK MID"
NA,"PA 143/S02/01/2019","2_KOBIETA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 144/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 144/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 145/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 145/S02/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 146/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 146/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 146/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 146/S02/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_TRAMPEK S/P MID"
NA,"PA 148/S02/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 148/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 148/S02/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 148/S02/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 149/S02/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 149/S02/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 150/S02/01/2019","6_BIELIZNA :  BIELIZNA TERMOAKTYWNA"
NA,"PA 150/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 150/S02/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 154/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 154/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 154/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 155/S02/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 155/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 157/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 157/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 157/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 157/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 157/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 158/S02/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 158/S02/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 159/S02/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 159/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 159/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 162/S02/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 162/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 162/S02/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 164/S02/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 164/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 164/S02/01/2019","1_M石CZYZNA :  BUTY OUTDOOR LOW"
NA,"PA 165/S02/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 165/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 165/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 165/S02/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 165/S02/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 165/S02/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 167/S02/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 167/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 167/S02/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW"
NA,"PA 168/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 168/S02/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 168/S02/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 169/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 169/S02/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 170/S02/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 170/S02/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 170/S02/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 136/S03/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 136/S03/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 136/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 136/S03/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 137/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 137/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 137/S03/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 138/S03/01/2019","3_CHPAK :  BLUZA"
NA,"PA 138/S03/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 138/S03/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 138/S03/01/2019","6_BIELIZNA :  SKARPETY DGIE"
NA,"PA 139/S03/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 139/S03/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 140/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 140/S03/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 142/S03/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 142/S03/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 146/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 146/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 146/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 147/S03/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 147/S03/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 148/S03/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 148/S03/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 149/S03/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 149/S03/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 151/S03/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 151/S03/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 151/S03/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 154/S03/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 154/S03/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 154/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 154/S03/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 154/S03/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 154/S03/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 126/S04/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 126/S04/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 126/S04/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 126/S04/01/2019","1_M石CZYZNA :  KURTKA"
NA,"PA 126/S04/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 127/S04/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 127/S04/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT POZ LOW"
NA,"PA 128/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 128/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 128/S04/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 128/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 128/S04/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 128/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 132/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 132/S04/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 132/S04/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 133/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 133/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 134/S04/01/2019","3_CHPAK :  BLUZA"
NA,"PA 134/S04/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 134/S04/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 134/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 135/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 135/S04/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 136/S04/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 136/S04/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 136/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 136/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 136/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 136/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 138/S04/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 138/S04/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 138/S04/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 138/S04/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 142/S04/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 142/S04/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 142/S04/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 143/S04/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 143/S04/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 145/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 145/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 146/S04/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 146/S04/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 146/S04/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 146/S04/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_TRAMPEK S/P MID"
NA,"PA 149/S04/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 149/S04/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 149/S04/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 149/S04/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 149/S04/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 239/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 239/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 240/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 240/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 240/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 241/S05/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 241/S05/01/2019","4_DZIEWCZYNA :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 242/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 242/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 246/S05/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 246/S05/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 247/S05/01/2019","4_DZIEWCZYNA :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 247/S05/01/2019","4_DZIEWCZYNA :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 248/S05/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 248/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 248/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 248/S05/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 248/S05/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 249/S05/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 249/S05/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 250/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 250/S05/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 253/S05/01/2019","5_AKCESORIA :  PLECAK"
NA,"PA 253/S05/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 253/S05/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 255/S05/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 255/S05/01/2019","1_M石CZYZNA :  KURTKA"
NA,"PA 256/S05/01/2019","6_BIELIZNA :  BIELIZNA TERMOAKTYWNA"
NA,"PA 256/S05/01/2019","6_BIELIZNA :  SKARPETY INNE"
NA,"PA 257/S05/01/2019","1_M石CZYZNA :  KURTKA"
NA,"PA 257/S05/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 257/S05/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 257/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 257/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 259/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 259/S05/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 261/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 261/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 261/S05/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 265/S05/01/2019","2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 265/S05/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_SPORT S/P LOW"
NA,"PA 266/S05/01/2019","6_BIELIZNA :  BIELIZNA TERMOAKTYWNA"
NA,"PA 266/S05/01/2019","6_BIELIZNA :  SKARPETY INNE"
NA,"PA 134/S06/01/2019","3_CHPAK :  LONG SLEEVE"
NA,"PA 134/S06/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 134/S06/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 135/S06/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 135/S06/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 137/S06/01/2019","5_AKCESORIA :  PLECAK"
NA,"PA 137/S06/01/2019","2_KOBIETA :  BUTY LIFESTYLE_TRAMPEK S/P LOW"
NA,"PA 138/S06/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 138/S06/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 140/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 140/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 141/S06/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 141/S06/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 143/S06/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 143/S06/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 145/S06/01/2019","5_AKCESORIA :  TORBA"
NA,"PA 145/S06/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 145/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 145/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 145/S06/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 145/S06/01/2019","5_AKCESORIA :  R蔏AWICE SPORTOWE"
NA,"PA 148/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 148/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 148/S06/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 150/S06/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 150/S06/01/2019","1_M石CZYZNA :  BUTY_ZIMA"
NA,"PA 151/S06/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 151/S06/01/2019","5_AKCESORIA :  PIA"
NA,"PA 151/S06/01/2019","3_CHPAK :  LONG SLEEVE"
NA,"PA 151/S06/01/2019","3_CHPAK :  LONG SLEEVE"
NA,"PA 152/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 152/S06/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 152/S06/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 153/S06/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 153/S06/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 282/S07/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 282/S07/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 282/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 282/S07/01/2019","2_KOBIETA :  KLAPKI"
NA,"PA 286/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 286/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 286/S07/01/2019","5_AKCESORIA :  CZAPKA"
NA,"PA 289/S07/01/2019","5_AKCESORIA :  TORBA TRENINGOWA"
NA,"PA 289/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 290/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 290/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 290/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 290/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 290/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 290/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 290/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 291/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 291/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 291/S07/01/2019","4_DZIEWCZYNA :  KURTKA"
NA,"PA 292/S07/01/2019","5_AKCESORIA :  AKCESORIA OBUWNICZE"
NA,"PA 292/S07/01/2019","1_M石CZYZNA :  BUTY LIFESTYLE_TRAMPEK S/P MID"
NA,"PA 293/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 293/S07/01/2019","4_DZIEWCZYNA :  KURTKA"
NA,"PA 295/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 295/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 295/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 298/S07/01/2019","3_CHPAK :  SPODNIE"
NA,"PA 298/S07/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 299/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 299/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 299/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 300/S07/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 300/S07/01/2019","5_AKCESORIA :  AKCESORIA ZIMOWE"
NA,"PA 303/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 303/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 306/S07/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 306/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 307/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 307/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 307/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 313/S07/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 313/S07/01/2019","3_CHPAK :  T-SHIRT"
NA,"PA 315/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 315/S07/01/2019","2_KOBIETA :  SPODNIE"
NA,"PA 318/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 318/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 319/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 319/S07/01/2019","2_KOBIETA :  TIGHT"
NA,"PA 324/S07/01/2019","1_M石CZYZNA :  SPODENKI"
NA,"PA 324/S07/01/2019","6_BIELIZNA :  MAJTKI"
NA,"PA 324/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 324/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 328/S07/01/2019","2_KOBIETA :  BLUZA"
NA,"PA 328/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 328/S07/01/2019","3_CHPAK :  BUTY_ZIMA"
NA,"PA 329/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 329/S07/01/2019","2_KOBIETA :  T-SHIRT"
NA,"PA 330/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 330/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 330/S07/01/2019","6_BIELIZNA :  STOPKI"
NA,"PA 330/S07/01/2019","3_CHPAK :  BUTY LIFESTYLE_TRAMPEK LOW"
NA,"PA 331/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 331/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 331/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 331/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 331/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
NA,"PA 332/S07/01/2019","1_M石CZYZNA :  T-SHIRT"
NA,"PA 332/S07/01/2019","1_M石CZYZNA :  BLUZA"
NA,"PA 332/S07/01/2019","1_M石CZYZNA :  SPODNIE"
NA,"PA 332/S07/01/2019","6_BIELIZNA :  SKARPETY KR覶KIE (QUARTER)"
